,Country,Population,Net migration,GDP ($ per capita),Literacy (%),Phones (per 1000),Infant mortality (per 1000 births)
0,Afghanistan ,31056997,23.06,700.0,36.0,3.2,163.07
1,Albania ,3581655,-4.93,4500.0,86.5,71.2,21.52
2,Algeria ,32930091,-0.39,6000.0,70.0,78.1,31
3,American Samoa ,57794,-20.71,8000.0,97.0,259.5,9.27
4,Andorra ,71201,6.6,19000.0,100.0,497.2,4.05
5,Angola ,12127071,0,1900.0,42.0,7.8,191.19
6,Anguilla ,13477,10.76,8600.0,95.0,460.0,21.03
7,Antigua & Barbuda ,69108,-6.15,11000.0,89.0,549.9,19.46
8,Argentina ,39921833,0.61,11200.0,97.1,220.4,15.18
9,Armenia ,2976372,-6.47,3500.0,98.6,195.7,23.28
10,Aruba ,71891,0,28000.0,97.0,516.1,5.89
11,Australia ,20264082,3.98,29000.0,100.0,565.5,4.69
12,Austria ,8192880,2,30000.0,98.0,452.2,4.66
13,Azerbaijan ,7961619,-4.9,3400.0,97.0,137.1,81.74
14,Bahamas. The ,303770,-2.2,16700.0,95.6,460.6,25.21
15,Bahrain ,698585,1.05,16900.0,89.1,281.3,17.27
16,Bangladesh ,147365352,-0.71,1900.0,43.1,7.3,62.6
17,Barbados ,279912,-0.31,15700.0,97.4,481.9,12.5
18,Belarus ,10293011,2.54,6100.0,99.6,319.1,13.37
19,Belgium ,10379067,1.23,29100.0,98.0,462.6,4.68
20,Belize ,287730,0,4900.0,94.1,115.7,25.69
21,Benin ,7862944,0,1100.0,40.9,9.7,85
22,Bermuda ,65773,2.49,36000.0,98.0,851.4,8.53
23,Bhutan ,2279723,0,1300.0,42.2,14.3,100.44
24,Bolivia ,8989046,-1.32,2400.0,87.2,71.9,53.11
25,Botswana ,1639833,0,9000.0,79.8,80.5,54.58
26,Brazil ,188078227,-0.03,7600.0,86.4,225.3,29.61
27,British Virgin Is. ,23098,10.01,16000.0,97.8,506.5,18.05
28,Brunei ,379444,3.59,18600.0,93.9,237.2,12.61
29,Bulgaria ,7385367,-4.58,7600.0,98.6,336.3,20.55
30,Burkina Faso ,13902972,0,1100.0,26.6,7.0,97.57
31,Burma ,47382633,-1.8,1800.0,85.3,10.1,67.24
32,Burundi ,8090068,-0.06,600.0,51.6,3.4,69.29
33,Cambodia ,13881427,0,1900.0,69.4,2.6,71.48
34,Cameroon ,17340702,0,1800.0,79.0,5.7,68.26
35,Canada ,33098932,5.96,29800.0,97.0,552.2,4.75
36,Cape Verde ,420979,-12.07,1400.0,76.6,169.6,47.77
37,Cayman Islands ,45436,18.75,35000.0,98.0,836.3,8.19
38,Central African Rep. ,4303356,0,1100.0,51.0,2.3,91
39,Chad ,9944201,-0.11,1200.0,47.5,1.3,93.82
40,Chile ,16134219,0,9900.0,96.2,213.0,8.8
41,China ,1313973713,-0.4,5000.0,90.9,266.7,24.18
42,Colombia ,43593035,-0.31,6300.0,92.5,176.2,20.97
43,Comoros ,690948,0,700.0,56.5,24.5,74.93
44,Congo. Dem. Rep. ,62660551,0,700.0,65.5,0.2,94.69
45,Congo. Repub. of the ,3702314,-0.17,700.0,83.8,3.7,93.86
46,Costa Rica ,4075261,0.51,9100.0,96.0,340.7,9.95
47,Cote d'Ivoire ,17654843,-0.07,1400.0,50.9,14.6,90.83
48,Croatia ,4494749,1.58,10600.0,98.5,420.4,6.84
49,Cuba ,11382820,-1.58,2900.0,97.0,74.7,6.33
50,Czech Republic ,10235455,0.97,15700.0,99.9,314.3,3.93
51,Denmark ,5450661,2.48,31100.0,100.0,614.6,4.56
52,Djibouti ,486530,0,1300.0,67.9,22.8,104.13
53,Dominica ,68910,-13.87,5400.0,94.0,304.8,14.15
54,Dominican Republic ,9183984,-3.22,6000.0,84.7,97.4,32.38
55,Ecuador ,13547510,-8.58,3300.0,92.5,125.6,23.66
56,Egypt ,78887007,-0.22,4000.0,57.7,131.8,32.59
57,El Salvador ,6822378,-3.74,4800.0,80.2,142.4,25.1
58,Equatorial Guinea ,540109,0,2700.0,85.7,18.5,85.13
59,Eritrea ,4786994,0,700.0,58.6,7.9,74.87
60,Estonia ,1324333,-3.16,12300.0,99.8,333.8,7.87
61,Ethiopia ,74777981,0,700.0,42.7,8.2,95.32
62,Fiji ,905949,-3.14,5800.0,93.7,112.6,12.62
63,Finland ,5231372,0.95,27400.0,100.0,405.3,3.57
64,France ,60876136,0.66,27600.0,99.0,586.4,4.26
65,French Guiana ,199509,6.27,8300.0,83.0,255.6,12.07
66,French Polynesia ,274578,2.94,17500.0,98.0,194.5,8.44
67,Gabon ,1424906,0,5500.0,63.2,27.4,53.64
68,Gambia. The ,1641564,1.57,1700.0,40.1,26.8,72.02
69,Georgia ,4661473,-4.7,2500.0,99.0,146.6,18.59
70,Germany ,82422299,2.18,27600.0,99.0,667.9,4.16
71,Ghana ,22409572,-0.64,2200.0,74.8,14.4,51.43
72,Greece ,10688058,2.35,20000.0,97.5,589.7,5.53
73,Grenada ,89703,-13.92,5000.0,98.0,364.5,14.62
74,Guadeloupe ,452776,-0.15,8000.0,90.0,463.8,8.6
75,Guam ,171019,0,21000.0,99.0,492.0,6.94
76,Guatemala ,12293545,-1.67,4100.0,70.6,92.1,35.93
77,Guinea ,9690222,-3.06,2100.0,35.9,2.7,90.37
78,Guinea-Bissau ,1442029,-1.57,800.0,42.4,7.4,107.17
79,Guyana ,767245,-2.07,4000.0,98.8,143.5,33.26
80,Haiti ,8308504,-3.4,1600.0,52.9,16.9,73.45
81,Honduras ,7326496,-1.99,2600.0,76.2,67.5,29.32
82,Hong Kong ,6940432,5.24,28800.0,93.5,546.7,2.97
83,Hungary ,9981334,0.86,13900.0,99.4,336.2,8.57
84,Iceland ,299388,2.38,30900.0,99.9,647.7,3.31
85,India ,1095351995,-0.07,2900.0,59.5,45.4,56.29
86,Indonesia ,245452739,0,3200.0,87.9,52.0,35.6
87,Iran ,68688433,-0.84,7000.0,79.4,276.4,41.58
88,Iraq ,26783383,0,1500.0,40.4,38.6,50.25
89,Ireland ,4062235,4.99,29600.0,98.0,500.5,5.39
90,Israel ,6352117,0.68,19800.0,95.4,462.3,7.03
91,Italy ,58133509,2.07,26700.0,98.6,430.9,5.94
92,Jamaica ,2758124,-4.92,3900.0,87.9,124.0,12.36
93,Japan ,127463611,0,28200.0,99.0,461.2,3.26
94,Jordan ,5906760,6.59,4300.0,91.3,104.5,17.35
95,Kazakhstan ,15233244,-3.35,6300.0,98.4,164.1,29.21
96,Kenya ,34707817,-0.1,1000.0,85.1,8.1,61.47
97,Korea. North ,23113019,0,1300.0,99.0,42.4,24.04
98,Korea. South ,48846823,0,17800.0,97.9,486.1,7.05
99,Kuwait ,2418393,14.18,19000.0,83.5,211.0,9.95
100,Kyrgyzstan ,5213898,-2.45,1600.0,97.0,84.0,35.64
101,Laos ,6368481,0,1700.0,66.4,14.1,85.22
102,Latvia ,2274735,-2.23,10200.0,99.8,321.4,9.55
103,Lebanon ,3874050,0,4800.0,87.4,255.6,24.52
104,Lesotho ,2022331,-0.74,3000.0,84.8,23.7,84.23
105,Liberia ,3042004,0,1000.0,57.5,2.3,128.87
106,Libya ,5900754,0,6400.0,82.6,127.1,24.6
107,Liechtenstein ,33987,4.85,25000.0,100.0,585.5,4.7
108,Lithuania ,3585906,-0.71,11400.0,99.6,223.4,6.89
109,Luxembourg ,474413,8.97,55100.0,100.0,515.4,4.81
110,Macau ,453125,4.86,19400.0,94.5,384.9,4.39
111,Madagascar ,18595469,0,800.0,68.9,3.6,76.83
112,Malawi ,13013926,0,600.0,62.7,7.9,103.32
113,Malaysia ,24385858,0,9000.0,88.7,179.0,17.7
114,Maldives ,359008,0,3900.0,97.2,90.0,56.52
115,Mali ,11716829,-0.33,900.0,46.4,6.4,116.79
116,Malta ,400214,2.07,17700.0,92.8,505.0,3.89
117,Marshall Islands ,60422,-6.04,1600.0,93.7,91.2,29.45
118,Martinique ,436131,-0.05,14400.0,97.7,394.4,7.09
119,Mauritania ,3177388,0,1800.0,41.7,12.9,70.89
120,Mauritius ,1240827,-0.9,11400.0,85.6,289.3,15.03
121,Mexico ,107449525,-4.87,9000.0,92.2,181.6,20.91
122,Micronesia. Fed. St. ,108004,-20.99,2000.0,89.0,114.8,30.21
123,Moldova ,4466706,-0.26,1800.0,99.1,208.1,40.42
124,Monaco ,32543,7.75,27000.0,99.0,1035.6,5.43
125,Mongolia ,2832224,0,1800.0,97.8,55.1,53.79
126,Morocco ,33241259,-0.98,4000.0,51.7,40.4,41.62
127,Mozambique ,19686505,0,1200.0,47.8,3.5,130.79
128,Namibia ,2044147,0,7200.0,84.0,62.6,48.98
129,Nepal ,28287147,0,1400.0,45.2,15.9,66.98
130,Netherlands ,16491461,2.91,28600.0,99.0,460.8,5.04
131,Netherlands Antilles ,221736,-0.41,11400.0,96.7,365.3,10.03
132,New Caledonia ,219246,0,15000.0,91.0,252.2,7.72
133,New Zealand ,4076140,4.05,21600.0,99.0,441.7,5.85
134,Nicaragua ,5570129,-1.22,2300.0,67.5,39.7,29.11
135,Niger ,12525094,-0.67,800.0,17.6,1.9,121.69
136,Nigeria ,131859731,0.26,900.0,68.0,9.3,98.8
137,N. Mariana Islands ,82459,9.61,12500.0,97.0,254.7,7.11
138,Norway ,4610820,1.74,37800.0,100.0,461.7,3.7
139,Oman ,3102229,0.28,13100.0,75.8,85.5,19.51
140,Pakistan ,165803560,-2.77,2100.0,45.7,31.8,72.44
141,Palau ,20579,2.85,9000.0,92.0,325.6,14.84
142,Panama ,3191319,-0.91,6300.0,92.6,137.9,20.47
143,Papua New Guinea ,5670544,0,2200.0,64.6,10.9,51.45
144,Paraguay ,6506464,-0.08,4700.0,94.0,49.2,25.63
145,Peru ,28302603,-1.05,5100.0,90.9,79.5,31.94
146,Philippines ,89468677,-1.5,4600.0,92.6,38.4,23.51
147,Poland ,38536869,-0.49,11100.0,99.8,306.3,8.51
148,Portugal ,10605870,3.57,18000.0,93.3,399.2,5.05
149,Puerto Rico ,3927188,-1.46,16800.0,94.1,283.1,8.24
150,Qatar ,885359,16.29,21500.0,82.5,232.0,18.61
151,Reunion ,787584,0,5800.0,88.9,380.9,7.78
152,Romania ,22303552,-0.13,7000.0,98.4,196.9,26.43
153,Russia ,142893540,1.02,8900.0,99.6,280.6,15.39
154,Rwanda ,8648248,0,1300.0,70.4,2.7,91.23
155,Saint Helena ,7502,0,2500.0,97.0,293.3,19
156,Saint Kitts & Nevis ,39129,-7.11,8800.0,97.0,638.9,14.49
157,Saint Lucia ,168458,-2.67,5400.0,67.0,303.3,13.53
158,St Pierre & Miquelon ,7026,-4.86,6900.0,99.0,683.2,7.54
159,Saint Vincent and the Grenadines ,117848,-7.64,2900.0,96.0,190.9,14.78
160,Samoa ,176908,-11.7,5600.0,99.7,75.2,27.71
161,San Marino ,29251,10.98,34600.0,96.0,704.3,5.73
162,Sao Tome & Principe ,193413,-2.72,1200.0,79.3,36.2,43.11
163,Saudi Arabia ,27019731,-2.71,11800.0,78.8,140.6,13.24
164,Senegal ,11987121,0.2,1600.0,40.2,22.2,55.51
165,Serbia ,9396411,-1.33,2200.0,93.0,285.8,12.89
166,Seychelles ,81541,-5.69,7800.0,58.0,262.4,15.53
167,Sierra Leone ,6005250,0,500.0,31.4,4.0,143.64
168,Singapore ,4492150,11.53,23700.0,92.5,411.4,2.29
169,Slovenia ,2010347,1.12,19000.0,99.7,406.1,4.45
170,Somalia ,8863338,5.37,500.0,37.8,11.3,116.7
171,South Africa ,44187637,-0.29,10700.0,86.4,107.0,61.81
172,Spain ,40397842,0.99,22000.0,97.9,453.5,4.42
173,Sri Lanka ,20222240,-1.31,3700.0,92.3,61.5,14.35
174,Sudan ,41236378,-0.02,1900.0,61.1,16.3,62.5
175,Suriname ,439117,-8.81,4000.0,93.0,184.7,23.57
176,Swaziland ,1136334,0,4900.0,81.6,30.8,69.27
177,Sweden ,9016596,1.67,26800.0,99.0,715.0,2.77
178,Switzerland ,7523934,4.05,32700.0,99.0,680.9,4.39
179,Syria ,18881361,0,3300.0,76.9,153.8,29.53
180,Taiwan ,23036087,0,23400.0,96.1,591.0,6.4
181,Tajikistan ,7320815,-2.86,1000.0,99.4,33.5,110.76
182,Tanzania ,37445392,-2.06,600.0,78.2,4.0,98.54
183,Thailand ,64631595,0,7400.0,92.6,108.9,20.48
184,Togo ,5548702,0,1500.0,60.9,10.6,66.61
185,Tonga ,114689,0,2200.0,98.5,97.7,12.62
186,Trinidad & Tobago ,1065842,-10.83,9500.0,98.6,303.5,24.31
187,Tunisia ,10175014,-0.57,6900.0,74.2,123.6,24.77
188,Turkey ,70413958,0,6700.0,86.5,269.5,41.04
189,Turkmenistan ,5042920,-0.86,5800.0,98.0,74.6,73.08
190,Turks & Caicos Is ,21152,11.68,9600.0,98.0,269.5,15.67
191,Uganda ,28195754,0,1400.0,69.9,3.6,67.83
192,Ukraine ,46710816,-0.39,5400.0,99.7,259.9,20.34
193,United Arab Emirates ,2602713,1.03,23200.0,77.9,475.3,14.51
194,United Kingdom ,60609153,2.19,27700.0,99.0,543.5,5.16
195,United States ,298444215,3.41,37800.0,97.0,898.0,6.5
196,Uruguay ,3431932,-0.32,12800.0,98.0,291.4,11.95
197,Uzbekistan ,27307134,-1.72,1700.0,99.3,62.9,71.1
198,Vanuatu ,208869,0,2900.0,53.0,32.6,55.16
199,Venezuela ,25730435,-0.04,4800.0,93.4,140.1,22.2
200,Vietnam ,84402966,-0.45,2500.0,90.3,187.7,25.95
201,Yemen ,21456188,0,800.0,50.2,37.2,61.5
202,Zambia ,11502010,0,800.0,80.6,8.2,88.29
203,Zimbabwe ,12236805,0,1900.0,90.7,26.8,67.69